Epoch,MSE,MAE
1,0,0
2,20,10
3,40,20
4,60,30
5,80,40
6,100,50
7,120,60
8,140,70
9,160,80
10,180,90
11,200,100
12,220,110
13,240,120
14,260,130
15,280,140
16,300,150
17,320,160
18,340,170
19,360,180
20,380,190
21,400,200
22,420,210
23,440,220
24,460,230
25,480,240
26,500,250
27,520,260
28,540,270
29,560,280
30,580,290
31,600,300
32,620,310
33,640,320
34,660,330
35,680,340
36,700,350
37,720,360
38,740,370
39,760,380
40,780,390
41,800,400
42,820,410
43,840,420
44,860,430
45,880,440
46,900,450
47,920,460
48,940,470
49,960,480
50,980,490
51,1000,500
52,1020,510
53,1040,520
54,1060,530
55,1080,540
56,1100,550
57,1120,560
58,1140,570
59,1160,580
60,1180,590
61,1200,600
62,1220,610
63,1240,620
64,1260,630
65,1280,640
66,1300,650
67,1320,660
68,1340,670
69,1360,680
70,1380,690
71,1400,700
72,1420,710
73,1440,720
74,1460,730
75,1480,740
76,1500,750
77,1520,760
78,1540,770
79,1560,780
80,1580,790
81,1600,800
82,1620,810
83,1640,820
84,1660,830
